name,type,lat,lng,address,capacity,underground,sample
서울 임시주거시설 1,temporary_housing,37.574666,126.944651,,300,0,1
서울 임시주거시설 2,temporary_housing,37.550994,126.952668,,50,0,1
서울 임시주거시설 3,temporary_housing,37.576902,127.005353,,50,0,1
서울 임시주거시설 4,temporary_housing,37.57173,126.945125,,50,0,1
서울 임시주거시설 5,temporary_housing,37.549418,126.978275,,50,0,1
서울 지진겸용 임시주거시설 1,earthquake_indoor,37.569975,126.993021,,1000,0,1
서울 지진겸용 임시주거시설 2,earthquake_indoor,37.561471,126.974345,,300,0,1
서울 지진겸용 임시주거시설 3,earthquake_indoor,37.584866,126.943355,,120,0,1
서울 지진 옥외대피장소 1,earthquake_outdoor,37.578188,126.966718,,120,0,1
서울 지진 옥외대피장소 2,earthquake_outdoor,37.549219,126.996345,,50,0,1
서울 지진 옥외대피장소 3,earthquake_outdoor,37.541865,126.94967,,300,0,1
서울 지진 옥외대피장소 4,earthquake_outdoor,37.572524,126.999399,,500,0,1
서울 민방위 대피시설 1,civil_defense,37.568474,127.011018,,500,1,1
서울 민방위 대피시설 2,civil_defense,37.541028,126.963422,,1000,1,1
서울 민방위 대피시설 3,civil_defense,37.589427,126.968214,,120,1,1
서울 민방위 대피시설 4,civil_defense,37.578574,126.946108,,120,1,1
서울 민방위 대피시설 5,civil_defense,37.582684,127.011866,,120,1,1
서울 무더위쉼터 1,heat,37.588289,126.969509,,500,0,1
서울 무더위쉼터 2,heat,37.574441,126.968438,,300,0,1
서울 무더위쉼터 3,heat,37.557616,126.989812,,50,0,1
서울 무더위쉼터 4,heat,37.572848,126.95488,,120,0,1
서울 무더위쉼터 5,heat,37.546104,126.969462,,1000,0,1
서울 한파쉼터 1,cold,37.549477,126.9656,,50,0,1
서울 한파쉼터 2,cold,37.550043,126.945147,,300,0,1
서울 한파쉼터 3,cold,37.56037,126.947533,,1000,0,1
서울 한파쉼터 4,cold,37.588882,126.964927,,500,0,1
대구 임시주거시설 1,temporary_housing,35.865138,128.630418,,500,0,1
대구 임시주거시설 2,temporary_housing,35.849972,128.576174,,1000,0,1
대구 지진 옥외대피장소 1,earthquake_outdoor,35.873739,128.618691,,500,0,1
대구 지진 옥외대피장소 2,earthquake_outdoor,35.895269,128.594358,,120,0,1
대구 무더위쉼터 1,heat,35.90124,128.576083,,500,0,1
대구 무더위쉼터 2,heat,35.846855,128.569698,,50,0,1
대구 무더위쉼터 3,heat,35.85057,128.577599,,500,0,1
대구 무더위쉼터 4,heat,35.877185,128.593334,,1000,0,1
대구 무더위쉼터 5,heat,35.901167,128.603438,,1000,0,1
대구 민방위 대피시설 1,civil_defense,35.893047,128.567204,,50,1,1
대구 민방위 대피시설 2,civil_defense,35.882303,128.603988,,300,1,1
인천 임시주거시설 1,temporary_housing,37.472416,126.694012,,300,0,1
인천 임시주거시설 2,temporary_housing,37.452386,126.701961,,300,0,1
인천 임시주거시설 3,temporary_housing,37.484613,126.723537,,1000,0,1
인천 지진 옥외대피장소 1,earthquake_outdoor,37.481058,126.731136,,300,0,1
인천 지진 옥외대피장소 2,earthquake_outdoor,37.4768,126.705736,,120,0,1
인천 민방위 대피시설 1,civil_defense,37.43547,126.723576,,1000,1,1
인천 민방위 대피시설 2,civil_defense,37.48351,126.73477,,50,1,1
인천 무더위쉼터 1,heat,37.462237,126.704402,,50,0,1
인천 무더위쉼터 2,heat,37.482046,126.731711,,300,0,1
